Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2019,09,30,06:53:00,-0.1975,124.7617,70.3,4.3,"106km SSE of Lolayan, Indonesia",1569826380
2019,09,21,04:25:25,-5.2356,125.2084,10,4.2,"216km SW of Leksula, Indonesia",1569039925
2019,09,19,06:46:23,2.0944,125.4145,119,4.4,"76km NNE of Bitung, Indonesia",1568875583
2019,09,17,14:37:58,0.2797,122.2413,148.4,4.5,"29km SSW of Tilamuta, Indonesia",1568731078
2019,09,17,10:30:06,0.4079,125.508,55.3,4.7,"119km SSE of Tondano, Indonesia",1568716206
2019,09,13,03:02:15,2.1409,122.7437,461.7,4.4,"148km NNW of Boroko, Indonesia",1568343735
2019,08,29,10:53:06,0.0128,123.7874,123.7,4.5,"46km SSW of Molibagu, Indonesia",1567075986
2019,08,27,13:00:30,-4.5943,123.9154,20,4.8,"159km ENE of Katabu, Indonesia",1566910830
2019,08,27,06:31:23,1.2165,122.1677,52,4.6,"64km ENE of Bunobogu, Indonesia",1566887483
2019,08,26,19:48:10,0.8232,123.9249,251.8,4.2,"11km WSW of Lolak, Indonesia",1566848890
2019,08,26,11:00:44,-1.82,120.6466,55.1,4.8,"28km N of Pendolo, Indonesia",1566817244
2019,08,17,04:00:22,1.5812,124.6727,231.7,4.2,"21km WNW of Manado, Indonesia",1566014422
2019,08,12,13:00:11,-4.5158,125.5878,431.9,4.1,"131km SW of Leksula, Indonesia",1565614811
2019,08,10,12:59:15,0.3695,120.1407,567.3,4.6,"62km SW of Tinabogan, Indonesia",1565441955
2019,08,08,16:05:31,1.3847,118.9874,19.9,4.7,"149km WNW of Ogotua, Indonesia",1565280331
2019,08,07,18:15:23,-0.0368,123.8884,93.9,4.2,"47km SSW of Molibagu, Indonesia",1565201723
2019,08,04,18:08:25,-0.2732,122.9363,100.7,4.6,"76km NNE of Luwuk, Indonesia",1564942105
2019,08,04,13:31:12,0.3485,122.2377,163.7,4.4,"23km SSW of Tilamuta, Indonesia",1564925472
2019,08,02,05:56:13,-4.5071,125.443,466.4,4.4,"143km SW of Leksula, Indonesia",1564725373
2019,08,01,20:35:22,1.1089,121.7875,37.7,5,"20km ENE of Bunobogu, Indonesia",1564691722
2019,07,29,18:34:32,1.193,120.5759,35,4,"31km WNW of Tolitoli, Indonesia",1564425272
2019,07,27,05:19:48,0.0204,125.7162,41.7,4.8,"166km ESE of Modayag, Indonesia",1564204788
2019,07,27,05:17:37,-0.0062,125.8187,41.3,4.6,"175km SSE of Bitung, Indonesia",1564204657
2019,07,27,03:13:57,0.8615,125.7026,10,4.2,"86km SE of Bitung, Indonesia",1564197237
2019,07,26,05:59:26,-2.9973,119.4001,10,4.5,"6km SSE of Mamasa, Indonesia",1564120766
2019,07,24,14:05:19,-2.0332,122.6636,10,4.3,"120km S of Luwuk, Indonesia",1563977119
2019,07,18,09:55:06,0.0576,125.8005,59.5,4.1,"168km SSE of Bitung, Indonesia",1563443706
2019,07,11,16:31:25,-0.2916,124.2773,59,4.5,"81km SSE of Molibagu, Indonesia",1562862685
2019,07,11,10:09:21,0.4371,125.7763,35,4.4,"129km SSE of Bitung, Indonesia",1562839761
2019,07,09,00:27:16,-0.1405,125.0514,43.6,4.6,"119km SE of Modayag, Indonesia",1562632036
2019,07,08,17:52:54,0.3501,121.0927,93.8,4.1,"57km WSW of Lemito, Indonesia",1562608374
2019,07,03,14:18:54,0.8456,123.1273,62.3,4.6,"17km WSW of Boroko, Indonesia",1562163534
2019,07,02,14:51:36,-3.0629,119.3536,28.6,4.5,"13km S of Mamasa, Indonesia",1562079096
2019,07,01,09:20:27,-1.8686,120.6009,10,4.6,"24km NNW of Pendolo, Indonesia",1561972827
2019,06,28,18:07:33,-1.9358,122.6044,35,4.9,"110km S of Luwuk, Indonesia",1561745253
2019,06,28,13:21:54,-2.6021,121.7686,10,4.7,"75km E of Malili, Indonesia",1561728114
2019,06,27,20:16:07,0.08,123.944,119.4,4.2,"34km S of Molibagu, Indonesia",1561666567
2019,06,27,10:31:27,-0.6853,121.8911,25.6,4.5,"104km WNW of Luwuk, Indonesia",1561631487
2019,06,25,20:32:17,0.2479,124.1685,118.7,4.5,"25km SE of Molibagu, Indonesia",1561494737
2019,06,24,08:17:07,-0.1196,124.4328,87.1,4.7,"75km SE of Molibagu, Indonesia",1561364227
2019,06,24,00:55:26,-1.5081,120.359,10,4.5,"34km WSW of Kasiguncu, Indonesia",1561337726
2019,06,23,09:53:52,2.1106,125.6148,79.7,4.3,"87km NNE of Bitung, Indonesia",1561283632
2019,06,12,01:30:34,-0.5342,121.8024,10,4.2,"118km WNW of Luwuk, Indonesia",1560303034
2019,06,11,21:55:36,-4.6648,125.6057,446,4,"140km SW of Leksula, Indonesia",1560290136
2019,06,10,23:02:17,0.3411,120.4008,13.8,4.7,"50km SSW of Tinabogan, Indonesia",1560207737
2019,06,09,14:27:17,-2.9579,119.4304,29.6,4.5,"6km ESE of Mamasa, Indonesia",1560090437
2019,06,04,14:33:10,-1.8217,122.6049,12.9,4.8,"98km SSW of Luwuk, Indonesia",1559658790
2019,06,01,16:14:05,-1.7584,122.6786,35,5,"90km S of Luwuk, Indonesia",1559405645
2019,05,31,13:55:32,-6.078,122.4128,10,4.9,"71km SSW of Baubau, Indonesia",1559310932
2019,05,31,13:32:02,-1.6469,124.2065,58.2,4.4,"38km NNW of Bobong, Indonesia",1559309522
2019,05,30,18:17:04,0.3006,122.1073,170,4.5,"36km SW of Tilamuta, Indonesia",1559240224
2019,05,27,13:34:00,0.3837,122.079,190.4,4.6,"33km WSW of Tilamuta, Indonesia",1558964040
2019,05,26,10:33:41,0.3449,125.4166,63.3,4.8,"120km SSE of Tondano, Indonesia",1558866821
2019,05,21,18:42:47,0.9859,122.0922,49,5.1,"53km E of Bunobogu, Indonesia",1558464167
2019,05,19,14:53:37,-0.491,121.8876,10,4.1,"112km WNW of Luwuk, Indonesia",1558277617
2019,05,16,05:33:35,-1.8236,122.643,10,4.4,"97km S of Luwuk, Indonesia",1557984815
2019,05,11,23:43:42,0.5778,122.3185,112.7,4.6,"6km NNW of Tilamuta, Indonesia",1557618222
2019,05,11,01:30:23,-1.8217,122.5925,10,4.6,"98km SSW of Luwuk, Indonesia",1557538223
2019,05,08,12:15:16,-1.7853,122.6272,10,4.7,"93km S of Luwuk, Indonesia",1557317716
2019,05,07,21:28:44,0.7164,125.4587,83.1,4,"86km SSE of Bitung, Indonesia",1557264524
2019,05,05,16:25:52,-1.9922,122.5255,10,4.7,"118km SSW of Luwuk, Indonesia",1557073552
2019,05,05,12:33:22,1.7978,125.6095,110.8,4.4,"61km NE of Bitung, Indonesia",1557059602
2019,05,05,08:57:22,-0.1139,124.4864,61.6,4.2,"78km SE of Molibagu, Indonesia",1557046642
2019,05,04,21:02:10,1.9846,123.6614,327,5.7,"122km N of Pimpi, Indonesia",1557003730
2019,05,01,04:47:03,-1.8124,122.7231,35,4.6,"95km S of Luwuk, Indonesia",1556686023
2019,04,29,21:33:44,-1.8353,122.6605,10,4.4,"98km S of Luwuk, Indonesia",1556573624
2019,04,28,01:23:01,0.2251,121.4067,180.9,4.1,"39km SSW of Lemito, Indonesia",1556414581
